timestamp,EUR,USD
2025-06-26 00:00:00+02:00,790023.9500000001,-47871.77
2025-06-27 00:00:00+02:00,640017.9500000001,127673.23000000001
2025-06-28 00:00:00+02:00,640017.9500000001,127673.23000000001
2025-06-29 00:00:00+02:00,640017.9500000001,127673.23000000001
2025-06-30 00:00:00+02:00,640017.9500000001,127673.23000000001
2025-07-01 00:00:00+02:00,640017.9500000001,127673.23000000001
2025-07-02 00:00:00+02:00,640017.9500000001,127673.23000000001
2025-07-03 00:00:00+02:00,640017.9500000001,127631.59000000001
2025-07-04 00:00:00+02:00,640017.9500000001,127631.59000000001
2025-07-05 00:00:00+02:00,640017.9500000001,127631.59000000001
2025-07-06 00:00:00+02:00,640017.9500000001,127631.59000000001
2025-07-07 00:00:00+02:00,640017.9500000001,127696.86000000002
2025-07-08 00:00:00+02:00,585022.43,150400.38000000003
2025-07-09 00:00:00+02:00,584916.4600000001,100405.24000000005
2025-07-10 00:00:00+02:00,584916.4600000001,78471.74000000005
2025-07-11 00:00:00+02:00,434910.4600000001,253868.24000000005
2025-07-12 00:00:00+02:00,434910.4600000001,253868.24000000005
2025-07-13 00:00:00+02:00,434910.4600000001,253868.24000000005
2025-07-14 00:00:00+02:00,434910.4600000001,295300.23000000016
2025-07-15 00:00:00+02:00,434910.4600000001,295300.23000000016
2025-07-16 00:00:00+02:00,384907.01000000007,365388.0000000002
2025-07-17 00:00:00+02:00,384907.01000000007,402497.3200000002
2025-07-18 00:00:00+02:00,384907.01000000007,396269.0500000002
2025-07-19 00:00:00+02:00,384907.01000000007,396269.0500000002
2025-07-20 00:00:00+02:00,384907.01000000007,396269.0500000002
2025-07-21 00:00:00+02:00,384907.01000000007,396269.0500000002
2025-07-22 00:00:00+02:00,384907.01000000007,396269.0500000002
2025-07-23 00:00:00+02:00,384907.01000000007,289223.25000000023
2025-07-24 00:00:00+02:00,384907.01000000007,219259.92000000025
2025-07-25 00:00:00+02:00,384907.01000000007,219259.92000000025
2025-07-26 00:00:00+02:00,384907.01000000007,219259.92000000025
2025-07-27 00:00:00+02:00,384907.01000000007,219259.92000000025
2025-07-28 00:00:00+02:00,384907.01000000007,219259.92000000025
2025-07-29 00:00:00+02:00,384907.01000000007,219259.92000000025
2025-07-30 00:00:00+02:00,629893.6100000001,751.7800000002608
2025-07-31 00:00:00+02:00,629893.6100000001,751.7800000002608
2025-08-01 00:00:00+02:00,559890.1100000001,68335.24000000024
2025-08-02 00:00:00+02:00,559890.1100000001,68335.24000000024
2025-08-03 00:00:00+02:00,559890.1100000001,68335.24000000024
2025-08-04 00:00:00+02:00,559890.1100000001,68335.24000000024
2025-08-05 00:00:00+02:00,559890.1100000001,68335.24000000024
2025-08-06 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-07 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-08 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-09 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-10 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-11 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-12 00:00:00+02:00,559890.1100000001,68644.62000000023
2025-08-13 00:00:00+02:00,559890.1100000001,81181.73000000023
2025-08-14 00:00:00+02:00,559890.1100000001,81181.73000000023
2025-08-15 00:00:00+02:00,559890.1100000001,81181.73000000023
2025-08-16 00:00:00+02:00,559890.1100000001,81181.73000000023
2025-08-17 00:00:00+02:00,559890.1100000001,81181.73000000023
2025-08-18 00:00:00+02:00,559890.1100000001,86263.30000000024
2025-08-19 00:00:00+02:00,559890.1100000001,84888.43000000023
2025-08-20 00:00:00+02:00,459819.9400000001,46021.85000000023
2025-08-21 00:00:00+02:00,459819.9400000001,56648.36000000023
2025-08-22 00:00:00+02:00,459819.9400000001,82014.87000000023
2025-08-23 00:00:00+02:00,459819.9400000001,82014.87000000023
2025-08-24 00:00:00+02:00,459819.9400000001,82014.87000000023
2025-08-25 00:00:00+02:00,459819.9400000001,40743.31000000022
2025-08-26 00:00:00+02:00,359815.9300000001,115824.05000000022
2025-08-27 00:00:00+02:00,479815.9300000001,93906.6600000002
2025-08-28 00:00:00+02:00,329809.9000000001,303023.5900000002
2025-08-29 00:00:00+02:00,329809.9000000001,241857.1500000002
2025-08-30 00:00:00+02:00,329809.9000000001,241857.1500000002
2025-08-31 00:00:00+02:00,329809.9000000001,241857.1500000002
2025-09-01 00:00:00+02:00,329809.9000000001,241857.1500000002
2025-09-02 00:00:00+02:00,324804.0500000001,287377.3900000002
2025-09-03 00:00:00+02:00,324804.0500000001,289343.8900000002
2025-09-04 00:00:00+02:00,324804.0500000001,316607.3900000002
2025-09-05 00:00:00+02:00,324791.96000000014,316908.62000000017
2025-09-06 00:00:00+02:00,324791.96000000014,316908.62000000017
2025-09-07 00:00:00+02:00,324791.96000000014,316908.62000000017
2025-09-08 00:00:00+02:00,318790.16000000015,297361.78000000014
2025-09-09 00:00:00+02:00,318790.16000000015,297361.78000000014
2025-09-10 00:00:00+02:00,318790.16000000015,318376.71000000014
2025-09-11 00:00:00+02:00,318790.16000000015,361769.4500000001
2025-09-12 00:00:00+02:00,311955.36000000016,324167.47000000015
2025-09-13 00:00:00+02:00,311955.36000000016,324167.47000000015
2025-09-14 00:00:00+02:00,311955.36000000016,324167.47000000015
2025-09-15 00:00:00+02:00,311955.36000000016,324167.47000000015
2025-09-16 00:00:00+02:00,320520.5600000001,329801.23000000016
2025-09-17 00:00:00+02:00,320520.5600000001,291148.97000000015
