,value
CAGR,-0.014699999999999935
Max Drawdown,-0.03373541237618885
Annualized Return,-0.02528231615833467
Annualized Volatility,0.051230603316109576
Sharpe Ratio,-0.49350026198861086
Sortino Ratio,-0.9010345152181625
Calmar Ratio,0.006150064140347114
