date,deposit/withdraw,shares,initial_aum,final_aum,gross_performance,liabilities,management_fee,intermediate_nav,performance_fee,total_fee,estimated_aum,estimated_nav,returns
2025-06-25 00:00:00+02:00,854800.0,8548,0.0,854800.0,0.0,0.0,0.0,100.0,0.0,0.0,854800.0,100.0,
2025-06-26 00:00:00+02:00,25900.0,8807,854800.0,880700.0,0.0,0.0,0.0,100.0,0.0,0.0,880700.0,100.0,0.0
2025-06-30 00:00:00+02:00,0.0,8807,880700.0,877519.26667,-3180.73333,189.8356146744361,337.5074102576923,99.63884031679346,0.0,337.5074102576923,876991.923645068,99.57896260305075,-0.00421037396949242
2025-07-07 00:00:00+02:00,0.0,8807,876995.1910553256,877544.66667,549.4756146744,189.24803658097466,337.5171794884615,99.64172438628363,0.0,337.5171794884615,877017.9014539305,99.58191228045084,2.962149155782967e-05
2025-07-14 00:00:00+02:00,0.0,8807,877021.168633419,880440.88333,3419.714696581,189.93717556335122,338.6311089730769,99.97057832746678,0.0,338.6311089730769,879912.3150454635,99.91056149034445,0.0033002902070011775
2025-07-21 00:00:00+02:00,0.0,8807,879915.5961544367,871321.21,-8594.3861544367,189.0792117569231,335.1235423076923,98.93507550811854,0.0,335.1235423076923,870797.0072459354,98.87555435970653,-0.010359336542593134
2025-07-28 00:00:00+02:00,0.0,8807,870800.250788243,867068.03,-3732.220788243,188.15074958355768,333.4877038461538,98.45214374929034,0.0,333.4877038461538,866546.3915465703,98.39291376706828,-0.004881293417404398
2025-08-04 00:00:00+02:00,0.0,8807,866549.6192504164,878587.64,12038.0207495836,188.60127546923076,337.91832307692306,99.76014988077665,0.0,337.91832307692306,878061.1204014538,99.7003656638417,0.01328806970661156
2025-08-11 00:00:00+02:00,0.0,8807,878064.3887245308,874534.68,-3529.7087245308,188.2729644789231,336.3594923076923,99.29995231066198,0.0,336.3594923076923,874010.0475432135,99.24038237120625,-0.0046136570269598165
2025-08-18 00:00:00+02:00,0.0,8807,874013.307035521,879482.59,5469.282964479,188.2899725559173,338.2625346153846,99.86176791188826,0.0,338.2625346153846,878956.0374928287,99.80197995830915,0.005658962346620777
2025-08-25 00:00:00+02:00,0.0,8807,878959.310027444,883661.59,4702.279972556,189.15719186546156,339.8698423076923,100.33627682525264,592.317999999999,932.1878423076912,882540.2449658269,100.20895253387384,0.004077800618131011
