asset_class,market_value,fx_market_value,exposure %
Cash & Equivalent,516714.121,855758.9878320004,0.7289513866056399
Stock,308594.72000000003,265144.583424,0.22585507658827317
Option,58520.0,50280.384000000005,0.04282976417077306
Cryptocurrency,3229.7160000000003,2774.9719872,0.002363772635313952
